               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027916,            0.016691,           0.0054312,            0.042523,             0.91438,            0.078979,            0.044313,            0.020028,           0.0089431,              0.0992,             0.00769,             0.00769,             0.00769
                  37,            0.027796,             0.01644,           0.0060476,            0.055658,             0.92724,            0.090086,            0.050544,            0.020653,           0.0089062,             0.10285,            0.007624,            0.007624,            0.007624
                  38,            0.026209,            0.016349,           0.0060292,            0.049322,             0.93508,            0.091184,            0.051233,            0.020862,           0.0086876,             0.10299,            0.007558,            0.007558,            0.007558
                  39,            0.025955,            0.016164,           0.0075315,            0.047319,             0.92821,            0.093754,            0.051198,             0.02059,           0.0087103,              0.1091,            0.007492,            0.007492,            0.007492
                  40,            0.025533,            0.016103,           0.0072557,            0.055464,              0.8928,            0.088041,             0.04947,            0.022204,           0.0088807,             0.10894,            0.007426,            0.007426,            0.007426
                  41,            0.024415,            0.016036,           0.0059984,            0.055713,              0.9228,            0.098966,            0.055313,            0.019906,           0.0087218,             0.10816,             0.00736,             0.00736,             0.00736
                  42,            0.025146,            0.015716,            0.005734,            0.047002,             0.94438,            0.093326,            0.052947,            0.019271,           0.0089341,             0.10683,            0.007294,            0.007294,            0.007294
                  43,            0.025757,            0.016252,           0.0088583,            0.063651,             0.91473,             0.11288,            0.065165,            0.020476,           0.0091726,            0.097762,            0.007228,            0.007228,            0.007228
                  44,            0.026403,            0.016341,             0.00672,            0.062344,              0.9059,              0.1038,             0.05798,            0.019936,           0.0093452,             0.10341,            0.007162,            0.007162,            0.007162
                  45,            0.024641,             0.01564,            0.006149,            0.060322,             0.93203,            0.098328,            0.054977,            0.019577,           0.0091532,              0.1089,            0.007096,            0.007096,            0.007096
                  46,            0.025226,            0.016339,           0.0057466,            0.048973,             0.90609,            0.087595,            0.047066,            0.021353,           0.0097896,             0.10263,             0.00703,             0.00703,             0.00703
                  47,            0.024888,             0.01619,           0.0064806,            0.052088,             0.88065,            0.082164,            0.044339,             0.02113,            0.009458,            0.099135,            0.006964,            0.006964,            0.006964
                  48,            0.026037,              0.0155,           0.0059141,            0.048441,             0.89739,            0.073149,            0.038374,            0.021894,           0.0092284,             0.10669,            0.006898,            0.006898,            0.006898
                  49,            0.026129,            0.015756,           0.0064025,            0.046346,             0.91938,            0.069256,             0.03642,            0.021944,           0.0090911,             0.10783,            0.006832,            0.006832,            0.006832
                  50,            0.025269,            0.016223,           0.0061439,            0.052887,             0.89667,            0.076524,            0.040461,            0.021482,           0.0090054,             0.10989,            0.006766,            0.006766,            0.006766
                  51,            0.025293,            0.014863,           0.0054869,            0.055288,             0.86509,            0.093738,            0.051642,            0.020899,           0.0092375,             0.10422,              0.0067,              0.0067,              0.0067
                  52,            0.023091,            0.015072,           0.0046248,            0.054887,             0.90124,            0.088642,            0.047332,             0.02136,           0.0094832,             0.10741,            0.006634,            0.006634,            0.006634
                  53,            0.025154,            0.015937,            0.007235,            0.054778,             0.84176,             0.06814,            0.035386,            0.021471,           0.0094328,             0.11591,            0.006568,            0.006568,            0.006568
                  54,            0.022702,            0.014737,           0.0049566,            0.061926,             0.85413,            0.095061,            0.050819,            0.020512,           0.0099422,              0.1139,            0.006502,            0.006502,            0.006502
                  55,            0.023108,             0.01488,           0.0044086,            0.061599,             0.82466,            0.084402,            0.044452,            0.020248,             0.01056,             0.11345,            0.006436,            0.006436,            0.006436
                  56,            0.023998,            0.015362,           0.0052063,            0.058282,             0.82048,             0.07529,            0.041158,            0.019945,           0.0099239,             0.11753,             0.00637,             0.00637,             0.00637
                  57,            0.024477,            0.015121,           0.0049315,            0.057697,             0.84124,             0.08417,            0.043399,            0.021679,           0.0099646,             0.11347,            0.006304,            0.006304,            0.006304
                  58,            0.023172,            0.015438,           0.0053236,            0.058611,             0.87934,            0.098928,            0.051615,            0.020556,            0.009976,             0.10484,            0.006238,            0.006238,            0.006238
                  59,            0.024798,            0.015062,           0.0055853,            0.051519,             0.89517,            0.085497,            0.043277,            0.021696,           0.0098194,             0.10575,            0.006172,            0.006172,            0.006172
                  60,            0.022517,            0.014548,           0.0046551,            0.056454,             0.86267,            0.084261,            0.044259,            0.020424,           0.0097616,             0.10876,            0.006106,            0.006106,            0.006106
                  61,            0.023406,            0.015253,           0.0054607,            0.057317,              0.8331,            0.086594,            0.048312,            0.020966,           0.0090285,             0.11389,             0.00604,             0.00604,             0.00604
                  62,            0.022109,            0.014519,           0.0039898,            0.051402,             0.87134,            0.077905,            0.043704,            0.019754,           0.0095683,             0.11613,            0.005974,            0.005974,            0.005974
                  63,            0.022605,            0.014831,           0.0041977,            0.051017,             0.87783,            0.073923,            0.041747,            0.020231,           0.0099548,             0.11612,            0.005908,            0.005908,            0.005908
                  64,            0.022285,             0.01501,           0.0046136,            0.043749,             0.85526,            0.068412,            0.034731,            0.021625,            0.010433,             0.11553,            0.005842,            0.005842,            0.005842
                  65,            0.021254,            0.014071,           0.0043025,            0.043776,             0.88974,            0.078117,             0.04092,            0.022715,           0.0098479,             0.11642,            0.005776,            0.005776,            0.005776
                  66,            0.021576,            0.013723,           0.0043823,            0.051999,              0.8518,            0.093715,            0.049376,            0.021071,            0.010221,             0.10989,             0.00571,             0.00571,             0.00571
                  67,            0.022002,             0.01438,            0.003994,            0.067141,             0.90264,             0.11946,            0.061394,            0.021138,            0.010084,              0.1077,            0.005644,            0.005644,            0.005644
                  68,            0.020719,            0.014617,           0.0044032,            0.073618,             0.87897,             0.11254,            0.060199,            0.020619,            0.010067,             0.11208,            0.005578,            0.005578,            0.005578
                  69,            0.021661,            0.014605,           0.0038753,            0.077451,             0.85398,             0.11223,            0.059844,            0.019896,           0.0099059,              0.1172,            0.005512,            0.005512,            0.005512
                  70,            0.021528,            0.013874,           0.0048918,            0.069461,              0.8075,             0.10032,            0.054212,            0.020754,            0.009822,             0.11767,            0.005446,            0.005446,            0.005446
                  71,            0.021939,            0.013935,           0.0039202,            0.064046,             0.85073,            0.081399,            0.044398,            0.020625,            0.010253,             0.11953,             0.00538,             0.00538,             0.00538
                  72,            0.020255,            0.014349,           0.0039648,            0.069438,             0.88836,            0.091684,            0.049741,            0.020303,           0.0098276,             0.12136,            0.005314,            0.005314,            0.005314
                  73,             0.02194,            0.013682,           0.0034034,            0.073609,             0.88893,            0.096123,            0.054046,            0.019647,            0.009443,             0.12085,            0.005248,            0.005248,            0.005248
                  74,            0.020871,            0.013838,           0.0032529,            0.076377,             0.87721,            0.099791,            0.055538,            0.019686,           0.0092395,             0.11925,            0.005182,            0.005182,            0.005182
                  75,            0.020318,            0.013671,           0.0039355,            0.063479,             0.86283,            0.089267,            0.049854,            0.020178,           0.0096852,             0.12009,            0.005116,            0.005116,            0.005116
                  76,            0.020604,            0.013424,           0.0032956,             0.07332,             0.88957,             0.10378,            0.057788,            0.019573,            0.010184,             0.11854,             0.00505,             0.00505,             0.00505
                  77,            0.019284,            0.013245,           0.0031309,            0.088457,             0.88381,             0.12397,            0.067257,            0.019521,            0.010343,             0.11219,            0.004984,            0.004984,            0.004984
                  78,            0.021442,            0.013405,           0.0044447,            0.083213,             0.83707,             0.11006,            0.061255,            0.020623,             0.01047,             0.11196,            0.004918,            0.004918,            0.004918
                  79,            0.019498,            0.013453,           0.0036014,            0.075912,             0.85396,            0.098971,            0.054664,            0.020914,            0.010331,             0.11425,            0.004852,            0.004852,            0.004852
